jobtitle,company,location,jobsnippet,salary,companyrating,href
Entry Level IOS Developer-333328,I28 Technologies,"Marysville, MI",The primary focus will be to implement new user interfaces and features together with automated unit and integration tests.,"Estimated: $60,000 - $65,000 a year",3 ,simplyhired.com/job/HkJ26eg-ifnAX99A9LfnLrE8DQyiCR8vmuEsc7Gk2CmL1APigSI7IQ
Entry Level Software Developer (604255),Progeny,"Lakewood, OH","Career opportunities are available for recent grads with BS in Computer Engineering, Computer Science, Systems Engineering or related technical field.",Estimated: $59.7K - $75.6K a year,4.4 ,simplyhired.com/job/O68PSjpeB3quA82gHnDnQHBytby7SKFJZgfwhXo-ugZsr6dJbM0D4w
Mobile Application Developer,TutorOn,"Palm City, FL","Web design: 1 year (Preferred). Mobile app company seeking CREATIVE mobile app developer, must also have skills in other digital verticals such as website…",Estimated: $20 - $39 an hour,N/A,simplyhired.com/job/L3Sqrs03YFKhW9Pt4nTg_1oYjHGJKPk04yerHCQkUvP6JUT5SSsa4Q
Entry Level Product Engineer,Locus Technologies,"Mountain View, CA",Able to collaborate and communicate effectively across multiple technical teams. Must be able to collaborate with all of our engineering teams to quickly…,Estimated: $72.7K - $92K a year,3.6 ,simplyhired.com/job/UrF6-zCp04XTKSpNmYbaDmRcIfgwM8D2uO6mljUc94B_UZ59bzhJPg
Principal Mobile Developer,Peggy,"Ontario, CA","You will be partnering with our design, backend, and technical leadership teams as we drive towards our exciting alpha release. Peggy is a remote-first company.",Estimated: $148K - $187K a year,4.5 ,simplyhired.com/job/lGQk8q-kCDPTMgt3K4rKrOYhAH2uZR13iUKbUaa8xo4uMyOMPtnpMg
Entry to Mid Level IOS Developer.,Adidev Technologies Inc,"New York, NY",Must be a driven self starter and must be willing to relocate to a new city or state depending upon the client assignment.,Estimated: $55.3K - $70K a year,N/A,simplyhired.com/job/sZ-ubtwKV_lj-vwmPhnAb3-0j6aBgIlXRQe5fQUbQUVoWP0TcOGNjA
"ES Application Developer I,2 or 3",University of Houston,"Houston, TX","1+ years of experience and/or bachelor’s degree in Computer Science, Engineering, or other technical disciplines.",Estimated: $61.9K - $78.4K a year,4.2 ,simplyhired.com/job/NDJc68z27LDgNPQ2WyIjMMxqEtw1yCoOx75_AiV84kRRtxbJLZzjaA
Software Engineering and Programming Specialist - Python / Django,Baylor College of Medicine,"Houston, TX","Bachelor’s degree in computer science, information technology, or a related field (no experience required with bachelor's degree). High School diploma or GED.",Estimated: $67.1K - $84.9K a year,3.8 ,simplyhired.com/job/swb7Hxf06GuIPBRiUl2yEpKIGAIVh7LLzgaKSTNUTQWmjGYADd1S-g
Jr Mobile App Developer.,Adidev Technologies Inc,"New York, NY","Collaborate with the mobile development team to define, design, and develop new features. Adidev Technologies is seeking entry and mid-level iOS and Android…",Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/DmOUd9BgR9jpp0LwF0-r5qWzZ0gabwltWWWon0RFH4MIG67pb2VBNQ
React Native Mobile Developer,Adidev Technologies Inc,"Plano, TX",Adidev Technologies is seeking entry to mid and senior-level React Native developers with at least 1 - 2 years of experience..,Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/Ws7F7hYIbHhi62qKtsMF1LmgmlJcq-9k0szrlG1f3j-wSVzqS4Be-A
Entry Level Programmer,The C. D. Hartnett Company,"Weatherford, TX","Some training and training materials will be given applicants must be willing and able to learn multiple programming languages for the position, on their own…",Estimated: $41.5K - $52.5K a year,N/A,simplyhired.com/job/KNgF0mRx30SSjo9IzDPyS4BUdn6FCpA5AuCk9_lLMzeA2MX-FAT4_Q
"Analyst, IT - Level 1 Backend Software Engineer",Duke University,"Durham, NC",Bachelor's degree in a related field or equivalent combination of education and technical experience is required. Analyze and prototype technical solutions.,Estimated: $74.5K - $94.3K a year,4 ,simplyhired.com/job/EB8yKOYUbQnbFKOfAIASqj8RKnLMWGzOBzv6jryG7-7x34NNKd057A
Entry to Mid Level iOS Opening,Adidev Technologies Inc,"Houston, TX",Adidev Technologies is seeking entry and mid-level iOS developers with at least 1 - 2 years of experience. Experience with performance and memory tuning with…,Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/cdgQUYehPua8g03cxiHxYcxafBLpm8UHhv-Xa9CO8kdHGEeyllZwUA
Jr IOS & Android Mobile App Developer,Adidev Technologies Inc,"Sunnyvale, CA",Adidev Technologies is seeking entry and mid level iOS and Android developers with at least 1 - 2 years of experience. Hands-on experience with React Native.,Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/QzF_hJ-Xp9OcJIdpWs8EQkB4KsvH7UWnaEJoBTq18pSnLf3nE-GQVQ
IOS Developer,Adidev Technologies Inc,"Jersey City, NJ",Must be a driven self starter and must be willing to relocate to a new city or state depending upon the client assignment.,Estimated: $75.8K - $96K a year,N/A,simplyhired.com/job/lOi8ZI4vIHYeT96VGdjVsr2AhpN1w0vt-Q0BFPmtw3KqAQCL1Hn_5g
IOS & Android Mobile App Developer,Adidev Technologies Inc,"Denver, CO",Adidev Technologies is seeking entry and mid level iOS and Android developers with at least 1 - 2 years of experience. Knack for benchmarking and optimization.,Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/mIhQOPMC7et5Fxe9cQwxeqpjF0EfMJKbvKUxzrF_1q4RhE5b_R61UQ
Entry Level Python Developer with Flask - 114047,i28 technologies corporation,"Marysville, MI",Develop and worki on consumer-facing web/app applications and produce fully functional applications and APIs which can be integrated with both mobile and web…,"Estimated: $45,000 - $50,000 a year",3 ,simplyhired.com/job/gBZFbXwfT-enAXYXIBMu2AdJ6QLEzm7mImMTSiIl04yGpaPIYFOYIA
Entry Level Embedded Software Developer for ARM based Systems,NXP Semiconductors,"Austin, TX","Development of rom code involves interactions with several teams working on the SOC, marketing, systems architects, SOC design, verification and validation…",Estimated: $108K - $137K a year,3.9 ,simplyhired.com/job/A1iYd057dRXwyzfPlCSs9gkhdVZuTzdhzYd-IxWAGFpO2rB5XGcwfg
Entry-Level Software QA Analyst,USAN,"Norcross, GA","Bachelor’s degree in Management Information Systems (MIS), Computer Information Systems (CIS), or another technical-related field.","Estimated: $45,000 - $60,000 a year",4.4 ,simplyhired.com/job/9msffLwKiQCGy0lYv1dHmTW3Jrle21OQl-wKu2TrfFVQQVajvg6gYw
Junior Android developer,Adidev Technologies Inc,"New York, NY",Must be a driven self-starter and must be willing to relocate to a new city or state depending upon the client's assignment.,Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/YRL5q_jNj1wluSgvx_y-Ml9Pnk6Jinjj0uoC3K3enw3zjzW4EhhBMg
Jr. Application Developer,BPA,"Phoenix, AZ","Develops new applications to meet functional and technical designs, fixes and develops changes to applications to meet functional and technical designs…",Estimated: $45 - $50 an hour,3.4 ,simplyhired.com/job/Q9CjeRNmJMvD5i8awUfPS-qn8D5w3sDp7OiwsI6oW97z_OGATTSRhA
Information Technology Analyst 1,New Jersey Courts,"Trenton, NJ","An Associate's Degree in a field related to computer science, information technology or the area to which the applicant is applying, such as information systems…","Estimated: $55,744 - $91,797 a year",4.3 ,simplyhired.com/job/TTcatUXkfhgGzeFC8InJxtp0U1Iyxd9pQAuc1HUqVyvaSo-Kq3oBHA
Web Developer,Big Voodoo Interactive,"Easthampton, MA",The Web Developer is responsible for developing new websites and applications and providing technical support to the Project Managers for the clients.,Estimated: $55.6K - $70.4K a year,5 ,simplyhired.com/job/hQNcCppeg5Vb5pJuNQp5Sob4W8bRverlRMu_ExpMwy25YAMrGiFWGQ
Mobile Application Developer - IOS,Adidev Technologies Inc,"California City, CA",Must be a driven self-starter and must be willing to relocate to a new city or state depending upon the client assignment.,Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/Z9nNY37nsDMZQ2uq2Ma8MCOr1EVtYQeHwoEALOHKMylYKthQXQocGg
Mobile Developer - Android/IOS,Adidev Technologies Inc,"Jersey City, NJ",Must be a driven self starter and must be willing to relocate to a new city or state depending upon the client assignment.,Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/MUZF1g2kw9X_VosEZIV-QLJ-xsZ0osI5mPt0cXvayFfOKQ345J0FFA
Mobile Developer - Entry and Junior Levels,Cipher Tech Solutions,"Washington, DC",The majority of our company is comprised of extremely talented engineers and developers who write production tools in direct support of one of two missions:…,Estimated: $59.8K - $75.7K a year,N/A,simplyhired.com/job/Bwivyzsrss59Qk34RKHNDGyF3iwpt71YLvJJ9g3DLHTvy508nV2swQ
Entry- Mid- Senior IOS /Android developers,Adidev Technologies Inc,"Dallas, TX",Adidev Technologies is seeking entry to mid-level to Senior Level iOS and Android developers with at least 1 - 2 years of experience.,Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/4wKiyG0NL3mtJ2GoK27EeyLg0OvazkapLxo_egjf23NlBYIMdD1wAQ
React Native Developer,Adidev Technologies Inc,"New York, NY",Adidev Technologies is seeking entry to mid and senior-level React Native developers with at least 1 - 2 years of experience.. Integrate third-party API's.,Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/kdeAryZUnu5iOTnHN6VRIto861KguAQ_QDKP5rkKyT8BmM9xcMkReQ
JR. IOS Developer,Adidev Technologies Inc,"California City, CA",Adidev Technologies is seeking entry to mid-level to Senior Level iOS and developers with at least 1 - 2 years of experience.,Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/xoBq_J8fGlIfDxpiCHVum4dNz4ooaOjCGWCRj8ms2t_oNuJMFjsh1Q
Senior Software Developer,T2S Solutions,"Aberdeen Proving Ground, MD","Provide technical support and troubleshooting for end-users and other technical teams. Strong communication skills, both written and verbal, with the ability to…",Estimated: $116K - $146K a year,4.6 ,simplyhired.com/job/-dvS6bJBuz1Oiq646N8u7CBKLmZCfCBYPEq3wyZmD9O0U85rpXGVdQ
Software Engineer I,TCP,"River Falls, WI",This is a true entry level position that requires no prior experience beyond basic familiarity with object-oriented programming.,Estimated: $58.5K - $74.1K a year,3.6 ,simplyhired.com/job/YtkblRkWNjUUi7rUM-Ug6klt6qQjxnfOczT_iTxTCACLMxSI4DqnHA
Entry Level Software Developer,EAI Technologies,"Vienna, VA","Design and develop dynamic Enterprise Web and Mobile applications Cyber Security, Supply Chain/Logistics, or Finance for a variety of clients like Verizon,…","Estimated: $70,000 - $85,000 a year",N/A,simplyhired.com/job/GvnUUYZT4bnLJdETGztAYlhrdfS_6q8EddUZaerAPGGAvfcEBrHNDg
Junior Software Engineer,Aristocrat,"Franklin, TN",Current student pursuing bachelor’s degree in Computer Science/Engineering or related field and graduating in May 2023.,Estimated: $64.6K - $81.8K a year,3.4 ,simplyhired.com/job/fMsClti4AOv_xS_AE0LI_6mBdmkaA6oyQ1XBpfRp3Q8Rye95XbXlTA
Mobile application Developer (Entry-Mid-Senior),Adidev Technologies Inc,"New York, NY",Adidev Technologies is seeking entry and mid level iOS and Android developers with at least 1 - 2 years of experience. At least 2 years of experience with Java.,Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/co5zk3_blTZDHI4g5e25V_CmQ1PmaaIeFadVGVC6_VayE8f3-ubfZA
Software Developer Co-op-Solutions Development,Retail Business Services,"Carlisle, PA",Understanding of both the art and science of coming together to effectively design and develop applications as a team. Knowledge of Azure Cloud environment.,Estimated: $106K - $135K a year,3.9 ,simplyhired.com/job/uMZK8j67wmGgXDBWUoWMY_disO4LwYFvnKa3RnzGIdDv3_ELCoCMfQ
"Entry Level, Mid-Level, Senior Mobile Developers (Android & iOS)",Adidev Technologies Inc,"San Jose, CA",Adidev Technologies is seeking entry to mid-level to Senior Level iOS and Android developers with at least 1 - 2 years of experience..,Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/l4lb2_QpRWpNIuTBt9xtEr81JrD_WvXVdIxsOIp4mG23Bxoy5ZRfww
Full Stack Developer,"Huupe, Inc.",United States,"We’re looking for a talented software engineer to architect and develop user interfaces and systems infrastructure running on our mobile app, our intelligent…",Estimated: $101K - $128K a year,N/A,simplyhired.com/job/l_OdzWKN5AxBDaDVOAzvOVLRBKBvSDTIXCP9-lvOnaBNg6nUvdm8Fg
Federal - Entry Level ServiceNow Developer Analyst,Accenture,"St. Louis, MO","Experience should include scripting, tool configuration, design work, technical configuration, and deployment. U.S. Citizenship (no dual citizenship).",N/A,4 ,simplyhired.com/job/K04BbzFw4pxq5AejmyI-3ZjY-qG68g6rsKdwqxa0YGiEtwdOXKx9cQ
Application Security Analyst,NowSecure,Remote,"Bachelor’s degree in computer science, cyber security or related fields; or Bachelor’s degree in an unrelated field plus 2 years work experience in a cyber…",Estimated: $87.3K - $111K a year,4 ,simplyhired.com/job/RolV9HPlW7LjYft9L5NrrpnELRFNWIQNKDoMRiVZddyz4yDcSy0Iaw
Offensive Security/ Mobile Application Pentester,NowSecure,Remote,"Bachelor’s degree in computer science, cyber security or related fields; or Bachelor’s degree in an unrelated field plus 2 years work experience in a cyber…",Estimated: $94.4K - $120K a year,4 ,simplyhired.com/job/_9BEPA9Dsssz-Ka1335HIwzNYriW-aEhMCt-j_Z1KjR6OCjz2FIlCg
Software Developer,Invincible TECH Systems,"Bentonville, AR","Responsible for providing support for the design, development and implementation of Front end, Back end, Mobile, Financial, all-encompassing Web Applications;…","Estimated: $82,000 a year",N/A,simplyhired.com/job/R4YR1Ya1xoraS7sWqJjn5UEjdgBt4NGsp_Ek3HT5Du2SJFboIBt5zg
Software Developer,Federal Soft Systems,"Bentonville, AR","Duties: Responsible for supporting the development and implementation of Front end, Back end, Mobile, and financial all-encompassing Web Applications and user…","Estimated: $80,500 a year",4.7 ,simplyhired.com/job/gmYliuYiSwxkUpNaBTi6m8ODFFuVUhEFlg52dh19-ZXJJGNPxbalXA
Mobile Application Developer,Adidev Technologies Inc,"San Francisco, CA","Adidev Technologies is seeking entry and mid-level iOS, Android, and React Native developers with at least 1 - 2 years of experience.",Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/ht4p19EwJQfx3bPWtMT60sZJ9_bYNaJAaZbS22Z_5uzawbQgIbp7Uw
DevOps Engineer,Medispend,"Portsmouth, NH",Looking for an entry level position to evolve from basic AWS technician to seasoned veteran. As a fully remote team with options to meet team members at shared…,"Estimated: $100,000 - $130,000 a year",3.8 ,simplyhired.com/job/ZCY2xdT67FW977ZyITX_JA_WjoEs-bXhYsIiyIwxfRxcTPEx93TcfQ
Junior Software Developer,Blue Marble Geographics,"Hallowell, ME","A bachelor’s degree or higher in computer science, computer engineering, mathematics, or other science (preferred, but different technical degrees will be…",Estimated: $61.6K - $78K a year,5 ,simplyhired.com/job/u7Y56l684alk_Gsn8QUYP5B6siit9lvzW8q_ptpHrlZ7-pyoRP80IQ
Test Engineer,Qorvo,"Greensboro, NC",Looking for a Talented Test Engineer/developer who can develop and support automated RF test platforms (hardware and software) for Production Test of Qorvo…,Estimated: $73.6K - $93.1K a year,3.6 ,simplyhired.com/job/UlCqMUY3FRw6cOKSlv0ZdiLoMTZ6GfEzn8lHLXTGDyMJkkMOMNaErQ
Entry/Mid-Level Software Engineer (Embedded),Presco Engineering,"New Haven, CT","Interface with hardware engineers to help drive design decisions. Design, develop, code, test and debug software on embedded systems and desktop PCs.","Estimated: $67,500 - $85,000 a year",N/A,simplyhired.com/job/0gR1EishbIBSZh89vElhbY4QoR3PvpswsG3brexpUPAYwc2vR2RBrg
Junior Website Developer,OurBizSpace,"West Seneca, NY","Skill in using Web design and development software, especially the Adobe Creative Suite tools, including DreamWeaver, Acrobat, Photoshop, Visual Web Developer.",Estimated: $47.7K - $60.4K a year,N/A,simplyhired.com/job/bdIKX75j9V748k1SwHWnn44VpFhEdrNXSyOYrcb3n3LxbndRmvV_YA
Software Developer,Alliant Group,"Houston, TX",Ability to work with a variety of tools and troubleshoot communication issues. Clearly and regularly communicate with management and technical support…,Estimated: $84.3K - $107K a year,3 ,simplyhired.com/job/eRVAeRLXrrn03f86DYWDK-7oJZUo1aKrUJ_QV7QY3SFzeDnF0nAl7Q
Software Developer Co-op-Merchandising,Retail Business Services,"Carlisle, PA",Understanding of both the art and science of coming together to effectively design and develop applications as a team. Net development technologies such as VB.,Estimated: $93.2K - $118K a year,3.9 ,simplyhired.com/job/d-Vad2hCy0akN8oWIevT8nyVHO8fZ-zK92VM4-56KKxZTm9smeoJRw
Software Developer,Auto Lenders Liquidation Center Inc,"Philadelphia, PA",Assist with technical design and implementation. We are not considering entry level candidates or recent graduates. Assist in testing and acceptance protocols.,"Estimated: From $80,000 a year",3.9 ,simplyhired.com/job/if7ww-kEA5xKsorApxIifOnPMfeACu9PBnyoDKwHwkM_ZuHPaK6T3w
Senior Software Engineer,Liberty Mutual Insurance,Remote,Using your technical knowledge to analyze technical system problems and design and implement effective solutions. RESTful Web Service consumption and design.,"$120,000 - $160,000 a year",3.6 ,simplyhired.com/job/Ft95EThadQcIhyzmFtwkR9rYhPfCrEMmk1D3WZVXJfbZRD0q-l-tIg
IOS Mobile Application Developer,Adidev Technologies Inc,"Plano, TX",Must be a driven self-starter and must be willing to relocate to a new city or state depending upon. Adidev Technologies is looking for entry and mid-level iOS…,Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/qMWmmwh85Vjz41MHOmAXbLwZtxTS47aFRDFgk7kaAZu_appmSvnrxg
Back-End Developer Co-op,Retail Business Services,"Salisbury, NC","Must be enrolled in a BS/BA, MS, or PhD program or a recent graduate in related field. Work on impactful projects collaborating with grocery brands to develop…",Estimated: $96.8K - $123K a year,3.9 ,simplyhired.com/job/WHG5D_4-Z8zMu4V413LjDr4mi5BWFdqv7u8lkOUVeZKXFMxgXAAiLg
Junior Software Engineer,"Big Fish Games, Inc.","Franklin, TN",Current student pursuing bachelor’s degree in Computer Science/Engineering or related field and graduating in May 2023. Perform other duties as assigned.,Estimated: $64.3K - $81.4K a year,3.5 ,simplyhired.com/job/4Q_-YLzhSYIqcgYGuEqBc67pKC8PY6ftHaab2K5mwaJrB9bOT1yWmQ
Programmer / Web Application Developer,Planet Access,"Dallas-Fort Worth, TX","For full time positions, we also offer family health insurance at \*zero cost to the employee\*. This test does not evaluate your knowledge, only your ability…",Estimated: $25 - $30 an hour,3 ,simplyhired.com/job/r7PLsOvT7FNqhQvLrTe49mhX3ETVRts2Zs21wYZR5idqqQns86mITA
Entry Level IT Admin Support and Web Developer,Blue Marble Geographics,"Hallowell, ME","A knowledge of modern Cyber-Security technologies and techniques, along with experience managing servers, troubleshooting IT issues, supporting internal staff…",Estimated: $45.5K - $57.6K a year,5 ,simplyhired.com/job/hriWK4j5_jPIGVEq1ZciZjX8CArtEXs7vwuPgyi6yheIA746uk3bSA
Associate Software Developer,Savannah River Mission Completion,"Aiken, SC",Associate’s degree in a computer science or related field and 2+ years of relevant experience; or. Bachelor’s Degree in Computer Science or related field from…,Estimated: $53.5K - $67.8K a year,N/A,simplyhired.com/job/c_mFC7PvckRupfScPFHtVN24JLMsbgsbIwJoaaGKnCmaSHslGgYvZA
Embedded Linux Engineer (Entry Level),The Manitowoc Company,"Shady Grove, PA","Assignments may involve new product design, product improvements, test, analysis, production liaison and service liaison utilizing a variety of engineering…",Estimated: $62K - $78.5K a year,3.7 ,simplyhired.com/job/tk3f3ZLnMpWyuaZFpYm7qM9ht53J8hsEln2lkRV6F8-d813xnzFeig
Quality Assurance Analyst,HCL Global Systems Inc,"Farmington Hills, MI","Use tools Postman/SOAPUI, JMeter to develop test automation of webservices (RESTful/Soap) API’s), verifying URI endpoints and validating response JSON/XML data.",Estimated: $79.5K - $101K a year,4.5 ,simplyhired.com/job/T9zEmPe3gQQ0ewlpt5pbeRQi4_CaLgGyufkmua1ZBQeYeNm87Mj2fg
Software Engineer RoadBotics (Experienced Level Professional),Michelin,"Pittsburgh, PA","Contribute as technical consultant to the feasibility study (technical alternatives, search for packages, definition of the architecture, technical risks,…",Estimated: $83.7K - $106K a year,4 ,simplyhired.com/job/7pVEYXMyMMllb1FiE8G8hoTxAR5BcJMLpiVwkkh4o8Oq1i-wKsPwtA
Android and/or iOS Mobile Developer,Adidev Technologies Inc,"College Station, TX",Must be willing to relocate to new city or state depending upon the Client assignment. Looking for entry and mid level iOS and Android developers with at least…,Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/WMogg-PKggFPgs558hyfcu9OxpbgcorBdv9a0VPHW7fivWyZleeiIw
Software Engineer,Aristocrat,"Las Vegas, NV","Analyzes existing software to debug and troubleshoot field issues that may arise. Computer Science Education (Bachelor of Science in Computer Science,…","Estimated: $86,380 - $160,420 a year",3.4 ,simplyhired.com/job/OYZIB2fNuSZRf0cPL1dz-3-B_-TCicmPhZSCGU4PmZvU90aZbvfPBQ
Cross Platform Mobile Developer - Flutter,Visitu,"Cincinnati, OH",Two hour long in depth technical interview split into two one hour sessions. We will start by giving you a set of requirements and ask you to design draw a mock…,Estimated: $15 - $50 an hour,N/A,simplyhired.com/job/9ID91uB3D-bmo6ToSIYznw4cLPsRF80AeSAzvuiKHxP5gXiBr8boUg
Software Engineer Apprentice,Red Foundry,"Chicago, IL","This entry-level position will be primarily responsible for providing a combination of Quality Assurance Testing on web and mobile applications, developing…",Estimated: $92.5K - $117K a year,1 ,simplyhired.com/job/yI-JrWX9LXkS5T8JC_qqNPdywXSuGwMq0_cJSEJKXTA5T3iJU6xvTA
Full Stack Developer Co-op,Retail Business Services,"Carlisle, PA",Understanding of both the art and science of coming together to effectively design and develop web and mobile applications.,Estimated: $93.4K - $118K a year,3.9 ,simplyhired.com/job/NPSSM40iothn1m9Jin-zA_w8YiqdzQc4gm_XswRqO6-s0daXBRJCqg
WORDPRESS DEVELOPER/DESIGNER,Windmill Strategy,United States,"You will be responsible for both front-end and back-end design and development, including creating WordPress themes, creating custom post types with filterable…",Estimated: $52K - $65.8K a year,N/A,simplyhired.com/job/jb8nyLbyejDTCx3R2QENbQRsGTGDJkSm4ovO8raITC8c6ONFdfKnwA
Enterprise Mobility Developer,Delta,"Atlanta, GA","Technical Expertise Involves demonstrating a commitment to increasing knowledge and skills in current technical / functional area, keeping up to date on…",Estimated: $87.5K - $111K a year,4.2 ,simplyhired.com/job/x2jXEqDhFSDwue6l110mDYfcBYMvFAu8PBMc8Sdi1pXis7KxSnoQyg
Hybrid Application Developer,Adidev Technologies Inc,"New York, NY",Adidev Technologies is seeking entry and mid level Hybrid developers with at least 1 - 2 years of experience. Familiar with code versioning tools such as Git.,Estimated: $75.6K - $95.8K a year,N/A,simplyhired.com/job/1chk_QJCmjSGQTZrFjCzYf-AyA3tYzQKft54deuBH5dP7Y0aV1rb9A
COMPUTER PROGRAMMER ANALYST II,The State of Florida,"Tallahassee, FL",This position will research new tools and technology to support the internet and SharePoint environments and acquire new skills and technical knowledge by…,"$2,956 a month",3.5 ,simplyhired.com/job/q1b7JfduMMNKN33F--fqT5E1IkoAtrczWvzhhv-bAkP1FBNhArcqjw
Software Engineer - Full Stack,Avela,Remote,"Until we grow our customer success team, we’ll need help from the entire engineering team to support our customers with technical issues.",Estimated: $109K - $138K a year,3 ,simplyhired.com/job/OE-dLiZlSGkmTriwJOWjV7iqBmAUyRtke-L2KUMPPTDUs2dUcrH-QA
MTS Silicon Design Engineer,"Advanced Micro Devices, Inc","Folsom, CA","SW Shift Left: Help drive our SW shift-left initiative, where we have a faster functional model and driver stack to facilitate our architecture analysis and IP…",Estimated: $131K - $165K a year,3.8 ,simplyhired.com/job/mdnONl22FpUTNif2wzsiIpzs1EYU-ju1_0lzqW0xGk5Tj_iP7uinSg
Entry Level Software Integration Engineer (604184),Progeny,"Groton, CT","BS Degree in Computer Engineering, Computer Science, Systems Engineering or a related technical field (or an equivalent combination of education and experience)…",Estimated: $61.2K - $77.5K a year,4.4 ,simplyhired.com/job/3LqAL3po3EvdZjlKHJo5kVO9NqyHxTZfyWhXUh0Jn2pW5cTH26NRsw
Android & IOS Developer,Adidev Technologies Inc,"Glendale, CA",Must be a driven self-starter and must be willing to relocate to a new city or state depending upon the client's assignment. Swift or Objective-C - 1-2 years.,Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/dEHikMV4r7DvppzWm3Pce9N85TuixfQLMCTm1VsTgC4HsazlrGEZuQ
IOS & Android Developer,Adidev Technologies Inc,"Pleasanton, CA",Adidev Technologies is seeking entry and mid level iOS and Android developers with at least 1 - 2 years of experience. Knack for benchmarking and optimization.,Estimated: $30 - $40 an hour,N/A,simplyhired.com/job/rRy1eMDWDs-0l65r7mMcNW_94IOShZV29wnARwFA88jb2sf1i3ZtfQ
Software Engineer,"Big Fish Games, Inc.","Las Vegas, NV","Analyzes existing software to debug and troubleshoot field issues that may arise. Computer Science Education (Bachelor of Science in Computer Science,…","Estimated: $86,380 - $160,420 a year",3.5 ,simplyhired.com/job/AT9x--sCf4ijZgfTzS-AmCsY4-auMbxo2qpmHXbdJ-0o42shKLPjcg
Cloud Engineer Co-op,Retail Business Services,"Chicago, IL","Must be enrolled in a BA/BS, MS or PhD program or recent graduate in a related field. Work on impactful projects collaborating with grocery brands to develop…",Estimated: $94.8K - $120K a year,3.9 ,simplyhired.com/job/FD54V1B6-kENG293L1r2fmQWxXos10qF9nw8IBCbU_3N8rDxVBzrew
Visual Experience Designer I/II,Navy Federal Credit Union,"Pensacola, FL","Knowledge of interaction design, visual design, and industry standards. Act as stakeholder in development, testing and implementation of UX design projects.",$31.00 - $48.50 an hour,3.9 ,simplyhired.com/job/VhbXsJywww0wDADaS_lQkFV4SDVzyV9AYrRqNJF-76pJYwVSUFeWRg
Junior Software Developer,"Applied Research Associates, Inc","Champaign, IL","Software analysis, code analysis, requirements analysis, and code reviews. ARA is offering entry-level software developers full-time employment opportunities in…",Estimated: $57.1K - $72.3K a year,4.1 ,simplyhired.com/job/b5WSZ8nX7HL73q5gehjEFknyh6ImuoGOrUMt23ILDwgmSyIUFDcizg
Capco Associate Talent Program - Texas - January 2024,CAPCO,"Dallas, TX",Writing code – developing / engineering software components leveraging Capco and industry best practices. Work closely with User Experience Designers and front…,Estimated: $87.5K - $111K a year,N/A,simplyhired.com/job/l52tr5NhrZ45ZzAko7LxoEveSHTu41iIqEYzG0cdZBghL1WE6bWo-A
C# Web / App Developer,C2IT Consulting,"Plainfield, IN","Assist in the selection and implementation of tools and technologies used in development, project planning/tracking, and testing.",Estimated: $75.6K - $95.7K a year,5 ,simplyhired.com/job/7abpKi-uRdweZ0sGPPMQ8yyY5TcEJzHDM7uk_UGxn1EXrrNmXfh__A
Senior Software Engineer,T2S Solutions,"Aberdeen Proving Ground, MD","Provide technical support and troubleshooting for end-users and other technical teams. Strong communication skills, both written and verbal, with the ability to…",Estimated: $115K - $146K a year,4.6 ,simplyhired.com/job/wmPXgEC771rIwPkCK7VXebPSxaZXCzu-jhLy0Pm9DO4CKR8hPbCKRQ
Associate Backend Application Developer (Entry Level),Intramotev,"St. Louis, MO",Willingness to expand into technical areas beyond your area of expertise; ability to develop innovative and novel approaches.,Estimated: $49.3K - $62.4K a year,N/A,simplyhired.com/job/z5EFRK7ocq8rA6SE8NmT022CgAy9wcnzFBAgzg_kn-CgYl1VxDQI8A
Sr. Software Development Engineer in Test,Home Depot / THD,"Houston, TX","The knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related to…",N/A,3.7 ,simplyhired.com/job/E4Et_HvMflLXCZMAO49KlV3hs8887HCG3XIPx1dRmMSua5W3iEkmtg
Senior Software Engineer - Account Identity,Roblox,"San Mateo, CA","BA/BS in Computer Science, Applied Math, Physics, Engineering, Statistics, or other technical field. As a Senior Frontend or Full Stack Software Engineer on the…","Estimated: $218,540 - $283,780 a year",4.2 ,simplyhired.com/job/yuMcaLDZqx9rpdwjyUTGSvEzDxxXJEgVWf2_PMQ17ch6IGayKlrnGQ
